tent: abdatam, wuumtorma (Lines: 10, 4590)
transfer: siigkii, yafa (Lines: 3943, 4621)
cradle: sonap, tuuk (Lines: 3989, 4242)
winter: sooroo, yeeni'tej (Lines: 3993, 4709)
abuse: suudnuuk, suudnuuko (Lines: 4012, 4015)
require: ta, tuu (Lines: 4054, 4229)
pick: tal, tebe (Lines: 4075, 4119)
may: tang, weyem (Lines: 4094, 4483)
admire: tatuu, wowuu (Lines: 4108, 4567)
plan: tek, tek (Lines: 4130, 4131)
green: tem, toj (Lines: 4137, 4209)
need: tuu, yam, yam (Lines: 4230, 4635, 4636)
term: uul, yosh (Lines: 4292, 4844)
name: uul, uul'ash (Lines: 4293, 4296)
summon: uume, yornom (Lines: 4306, 4842)
stamp: uusa, uusa (Lines: 4336, 4338)
research: wiik, wiik'ash (Lines: 4514, 4515)
region: wiiwmiizda, yov (Lines: 4544, 4849)
rate: wo, wo'ash (Lines: 4547, 4549)
even: yan, yuuj (Lines: 4644, 4860)
visit: yeh, yeh (Lines: 4712, 4715)
